# number, pdf
0.5, 0.18032892612818063
0.6, 0.19746802929618912
0.7, 0.20568469612565585
0.7999999999999999, 0.2096207250816033
0.8999999999999999, 0.21197856380569705
0.9999999999999999, 0.21402511521376555
1.0999999999999999, 0.21618195782747393
1.2, 0.2184490104281061
1.3, 0.2206574798316857
1.4000000000000001, 0.2226033072549809
1.5000000000000002, 0.22410900791482113
1.6000000000000003, 0.22504503065992562
1.7000000000000004, 0.22533234176965455
1.8000000000000005, 0.22493578888369728
1.9000000000000006, 0.22385513205401547
2.0000000000000004, 0.22211533252103766
2.1000000000000005, 0.21975878925895206
2.2000000000000006, 0.21683900512088417
2.3000000000000007, 0.21341517631710588
2.400000000000001, 0.2095490314237434
2.500000000000001, 0.20530177695709848
2.600000000000001, 0.2007325487704152
2.700000000000001, 0.1958973470706792
2.800000000000001, 0.19084805289434
2.9000000000000012, 0.18563240328053637
3.0000000000000013, 0.18029356056096915
3.1000000000000014, 0.17487044911159044
3.2000000000000015, 0.16939763696128451
3.3000000000000016, 0.1639057813109076
3.4000000000000017, 0.15842180228106478
3.5000000000000018, 0.1529690700162485
3.600000000000002, 0.14756790148479032
3.700000000000002, 0.14223562629496198
3.800000000000002, 0.13698705927328333
3.900000000000002, 0.13183458317024346
4.000000000000002, 0.12678853554458544
4.100000000000001, 0.12185737568344045
4.200000000000001, 0.11704784086117477
4.300000000000001, 0.11236524138073274
4.4, 0.10781358151858542
4.5, 0.10339567382169057
4.6, 9.911336968814134e-2
4.699999999999999, 9.496764246695252e-2
4.799999999999999, 9.095866771834644e-2
4.899999999999999, 8.708599926514969e-2
4.999999999999998, 8.334862400666046e-2
5.099999999999998, 7.974501658615095e-2
5.1999999999999975, 7.627327155841729e-2
5.299999999999997, 7.293113810050138e-2
5.399999999999997, 6.971605617469784e-2
5.4999999999999964, 6.662525435850018e-2
5.599999999999996, 6.365576454656244e-2
5.699999999999996, 6.080447585861398e-2
5.799999999999995, 5.806814446776624e-2
5.899999999999995, 5.544346203343797e-2
5.999999999999995, 5.292706261336587e-2
6.099999999999994, 5.051553289209741e-2
6.199999999999994, 4.820546139013732e-2
6.299999999999994, 4.599343693165853e-2
6.399999999999993, 4.387607226258615e-2
6.499999999999993, 4.1850001964214456e-2
6.5999999999999925, 3.991191581778976e-2
6.699999999999992, 3.8058553189152515e-2
6.799999999999992, 3.628671442763373e-2
6.8999999999999915, 3.459327010546276e-2
6.999999999999991, 3.297515464624407e-2
7.099999999999991, 3.142938767168235e-2
7.19999999999999, 2.9953065713905363e-2
7.29999999999999, 2.8543369578264147e-2
7.39999999999999, 2.7197557431453398e-2
7.499999999999989, 2.5912978667452916e-2
7.599999999999989, 2.4687065863331477e-2
7.699999999999989, 2.3517336942203766e-2
7.799999999999988, 2.2401396373856134e-2
7.899999999999988, 2.13369281822699e-2
7.999999999999988, 2.032170436648075e-2
8.099999999999987, 1.9353577367171467e-2
8.199999999999987, 1.843048018050652e-2
8.299999999999986, 1.755042585669542e-2
8.399999999999986, 1.671150121989695e-2
8.499999999999986, 1.5911871769765277e-2
8.599999999999985, 1.5149775187840919e-2
8.699999999999985, 1.4423520437543545e-2
8.799999999999985, 1.373148568348713e-2
8.899999999999984, 1.307211696475598e-2
8.999999999999984, 1.2443922914223015e-2
9.099999999999984, 1.184547736627154e-2
9.199999999999983, 1.1275414057957244e-2
9.299999999999983, 1.0732425310090214e-2
9.399999999999983, 1.021525993609703e-2
9.499999999999982, 9.722721715364974e-3
9.599999999999982, 9.253665214779348e-3
9.699999999999982, 8.806997040847375e-3
9.799999999999981, 8.381671725221494e-3
9.89999999999998, 7.97669036988681e-3
9.99999999999998, 7.591098796304435e-3
